age,path,type
1,utkface/aligned_images/train/1_1_3_20161220145208607_aligned.jpg,training
1,utkface/aligned_images/train/1_1_2_20161219212416550_aligned.jpg,training
29,utkface/aligned_images/train/29_0_0_20170104202211753_aligned.jpg,training
46,utkface/aligned_images/train/46_1_0_20170105162245243_aligned.jpg,training
43,utkface/aligned_images/train/43_1_0_20170109010025945_aligned.jpg,training
38,utkface/aligned_images/train/38_1_0_20170104192820567_aligned.jpg,training
52,utkface/aligned_images/train/52_1_4_20170104185604990_aligned.jpg,training
75,utkface/aligned_images/train/75_0_1_20170111201947825_aligned.jpg,training
35,utkface/aligned_images/train/35_1_3_20170104235206234_aligned.jpg,training
1,utkface/aligned_images/train/1_0_2_20161219212516942_aligned.jpg,training
85,utkface/aligned_images/train/85_1_0_20170110184001159_aligned.jpg,training
10,utkface/aligned_images/train/10_0_3_20170105175322885_aligned.jpg,training
75,utkface/aligned_images/train/75_1_0_20170110154312939_aligned.jpg,training
25,utkface/aligned_images/train/25_1_0_20170103180907920_aligned.jpg,training
7,utkface/aligned_images/train/7_1_4_20170104010111013_aligned.jpg,training
2,utkface/aligned_images/train/2_1_3_20161219225307648_aligned.jpg,training
54,utkface/aligned_images/train/54_1_0_20170104184901670_aligned.jpg,training
75,utkface/aligned_images/train/75_0_0_20170111205052872_aligned.jpg,training
1,utkface/aligned_images/train/1_1_2_20161219221253335_aligned.jpg,training
43,utkface/aligned_images/train/43_1_1_20170110120856819_aligned.jpg,training
32,utkface/aligned_images/train/32_0_4_20170104005921031_aligned.jpg,training
44,utkface/aligned_images/train/44_0_0_20170105173313757_aligned.jpg,training
13,utkface/aligned_images/train/13_1_0_20170110220422857_aligned.jpg,training
67,utkface/aligned_images/train/67_0_0_20170104184245598_aligned.jpg,training
19,utkface/aligned_images/train/19_0_4_20170102233259362_aligned.jpg,training
18,utkface/aligned_images/train/18_1_0_20170109214527742_aligned.jpg,training
5,utkface/aligned_images/train/5_1_0_20170109191508473_aligned.jpg,training
26,utkface/aligned_images/train/26_1_3_20170104222627929_aligned.jpg,training
49,utkface/aligned_images/train/49_1_0_20170104204953660_aligned.jpg,training
16,utkface/aligned_images/train/16_0_0_20170110232757924_aligned.jpg,training
62,utkface/aligned_images/train/62_0_0_20170111193832899_aligned.jpg,training
90,utkface/aligned_images/train/90_0_0_20170111210057456_aligned.jpg,training
23,utkface/aligned_images/train/23_1_4_20170103223443239_aligned.jpg,training
1,utkface/aligned_images/train/1_1_0_20170109193932015_aligned.jpg,training
29,utkface/aligned_images/train/29_1_3_20170104214540068_aligned.jpg,training
1,utkface/aligned_images/train/1_1_3_20161220143345775_aligned.jpg,training
31,utkface/aligned_images/train/31_0_3_20170104204851228_aligned.jpg,training
56,utkface/aligned_images/train/56_0_0_20170111211431463_aligned.jpg,training
3,utkface/aligned_images/train/3_0_0_20170110212754904_aligned.jpg,training
40,utkface/aligned_images/train/40_1_0_20170105164619947_aligned.jpg,training
2,utkface/aligned_images/train/2_0_4_20170103210801579_aligned.jpg,training
62,utkface/aligned_images/train/62_1_3_20170109132000815_aligned.jpg,training
29,utkface/aligned_images/train/29_0_0_20170104201127146_aligned.jpg,training
34,utkface/aligned_images/train/34_1_4_20170103230336761_aligned.jpg,training
68,utkface/aligned_images/train/68_0_0_20170111200645876_aligned.jpg,training
30,utkface/aligned_images/train/30_0_2_20170104021209963_aligned.jpg,training
2,utkface/aligned_images/train/2_0_0_20170110213051007_aligned.jpg,training
60,utkface/aligned_images/train/60_0_0_20170111203914420_aligned.jpg,training
3,utkface/aligned_images/train/3_1_0_20170109191958848_aligned.jpg,training
3,utkface/aligned_images/train/3_1_0_20161219230026848_aligned.jpg,training
8,utkface/aligned_images/train/8_1_0_20170109201110396_aligned.jpg,training
1,utkface/aligned_images/train/1_0_3_20161219230544016_aligned.jpg,training
57,utkface/aligned_images/train/57_0_0_20170105173447996_aligned.jpg,training
9,utkface/aligned_images/train/9_0_0_20170110225112927_aligned.jpg,training
2,utkface/aligned_images/train/2_0_0_20170110213022114_aligned.jpg,training
54,utkface/aligned_images/train/54_1_0_20170109142905822_aligned.jpg,training
5,utkface/aligned_images/train/5_1_2_20170104010050039_aligned.jpg,training
14,utkface/aligned_images/train/14_0_4_20170103201644927_aligned.jpg,training
24,utkface/aligned_images/train/24_1_3_20170104222658903_aligned.jpg,training
17,utkface/aligned_images/train/17_1_0_20170105183400255_aligned.jpg,training
78,utkface/aligned_images/train/78_0_3_20170105175706078_aligned.jpg,training
3,utkface/aligned_images/train/3_0_2_20161219190020899_aligned.jpg,training
80,utkface/aligned_images/train/80_1_0_20170110140603775_aligned.jpg,training
12,utkface/aligned_images/train/12_1_2_20170109214246240_aligned.jpg,training
37,utkface/aligned_images/train/37_1_0_20170103163428135_aligned.jpg,training
29,utkface/aligned_images/train/29_0_0_20170102233617277_aligned.jpg,training
54,utkface/aligned_images/train/54_0_0_20170104212522653_aligned.jpg,training
1,utkface/aligned_images/train/1_1_4_20161221202159241_aligned.jpg,training
3,utkface/aligned_images/train/3_1_3_20161220220619722_aligned.jpg,training
60,utkface/aligned_images/train/60_1_0_20170110122522956_aligned.jpg,training
24,utkface/aligned_images/train/24_1_0_20170111182452774_aligned.jpg,training
